FormaTamañoAcierto
"Capsula_0,01:64.2"
"Capsula_0,02:59.51"
"Capsula_0,03:55.23"
"Capsula_0,04:51.43"
"Capsula_0,05:47.7"
"Cilindro_0,01:63.35"
"Cilindro_0,02:58.14"
"Cilindro_0,03:53.31"
"Cilindro_0,04:48.84"
"Cilindro_0,05:44.91"
"Cubo_0,01:64.27"
"Cubo_0,02:59.76"
"Cubo_0,03:55.39"
"Cubo_0,04:51.57"
"Cubo_0,05:47.83"
"Esfera_0,01:65.86"
"Esfera_0,02:62.45"
"Esfera_0,03:59.35"
"Esfera_0,04:56.3"
"Esfera_0,05:53.64"
"Quad_0,01:65.72"
"Quad_0,02:62.34"
"Quad_0,03:59.05"
"Quad_0,04:56.18"
"Quad_0,05:53.34"
