FormaTamañoAcierto
"Capsula_0,01:80.44"
"Capsula_0,02:72.63"
"Capsula_0,03:66.0"
"Capsula_0,04:59.81"
"Capsula_0,05:53.86"
"Cilindro_0,01:79.46"
"Cilindro_0,02:70.87"
"Cilindro_0,03:63.49"
"Cilindro_0,04:56.5"
"Cilindro_0,05:49.79"
"Cubo_0,01:80.84"
"Cubo_0,02:73.21"
"Cubo_0,03:66.37"
"Cubo_0,04:60.17"
"Cubo_0,05:54.59"
"Esfera_0,01:82.82"
"Esfera_0,02:77.02"
"Esfera_0,03:71.47"
"Esfera_0,04:66.7"
"Esfera_0,05:62.25"
"Quad_0,01:82.45"
"Quad_0,02:76.55"
"Quad_0,03:70.68"
"Quad_0,04:66.12"
"Quad_0,05:61.97"
